text,label
Chci pomoci na Ukrajině. Mohu vstoupit do cizí armády,fight_in_ukraine
Chci bojovat v jiné zemi.,fight_in_ukraine
Chci bojovat proti Rusku. Mám vstoupit do armády,fight_in_ukraine
Chci se bránit Rusku na Ukrajině.,fight_in_ukraine
Chci bojovat za Českou Republiku v jiné zemi.,fight_in_ukraine
boj v jiné zemi,fight_in_ukraine
Mohu bojovat za česko jinde,fight_in_ukraine
Je možné se jit za AČR bojovat na Ukrajinu,fight_in_ukraine
můžu jít bojovat na ukrajinu,fight_in_ukraine
můžu vstoupit do ukrajinské armády,fight_in_ukraine
můžu na ukrajinu,fight_in_ukraine
Můžeš mi říct jestli můžu jet bojovat na Ukrajinu,fight_in_ukraine
Dáte mi povolení jet bojovat na Ukrajinu,fight_in_ukraine
Je to v pořádku když bych jel bojovat na Ukrajinu,fight_in_ukraine
Můžu se přihlásit na Ukrajinu,fight_in_ukraine
Bude možné abych se připojil k armádě v boji na Ukrajině,fight_in_ukraine
Je povoleno jet bojovat na Ukrajinu nebo je to nezákonné,fight_in_ukraine
Můžu se zúčastnit bojových operací v Ukrajině,fight_in_ukraine
Chtěl bych vědět jestli můžu bojovat na Ukrajině.,fight_in_ukraine
Můžeš mi sdělit zda mohu jet bojovat na Ukrajinu,fight_in_ukraine
Je to v pořádku když se přihlásím k boji na Ukrajině,fight_in_ukraine
Můžeš mi říct jestli je možné abych se zapojil do bojových operací na Ukrajině,fight_in_ukraine
Můžu jet bojovat na Ukrajinu,fight_in_ukraine
Jak je to s očkování proti kovidu,covid_vaccation
Musím mít očkování,covid_vaccation
Musím mít covid očkování.,covid_vaccation
očkování proti koronaviru,covid_vaccation
Musím být očkován proti kovidu,covid_vaccation
Musmí se nechat očkovat proti koronavirusu.,covid_vaccation
Musím si nechat udělat očkování na koronu když se chci přidat k armádě,covid_vaccation
Je očkování nutné pro vstup do ačr,covid_vaccation
Bude ode mě vyžadováno abych byl naočkovaný abych mohl sloužit v armádě,covid_vaccation
Je nutné být očkovaný aby bylo možné sloužit v armádě čr,covid_vaccation
Jaký je postoj armády k očkování proti kovidu,covid_vaccation
Je povinné nechat se očkovat proti covidu pokud se chci přidat k armáda,covid_vaccation
Musím podstoupit očkování proti kovidu abych mohl být přijat do armáda,covid_vaccation
Komu vyplácíte náborový příspěvek,recruitment_bonus
Jak se to s náborovým příspěvkem,recruitment_bonus
Kdo všechno dostavá náborový příspěvek,recruitment_bonus
Kdo má nárok na náborový bonus,recruitment_bonus
náborový příspěvel,recruitment_bonus
Kdo dostane rekrutační bonus,recruitment_bonus
Kdo má nárok na náborový příspěvek,recruitment_bonus
Pro koho je určen náborový příspěvek,recruitment_bonus
Komu se vyplatí získat náborový příspěvek,recruitment_bonus
Kdo může získat finanční odměnu za nábor nových vojáků,recruitment_bonus
Kdo získává peněžní bonus za přivedení nových vojáků,recruitment_bonus
Kdo může získat náborový příspěvek za zprostředkování nových vojáků pro armáda ČR,recruitment_bonus
